tx_x,tx_y,rx_x,rx_y,tx_z,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
334.43,212.85,405.0,0.0,22.0,1.6,8.0,1.0,104.623,7.51328e-07,108.343,-71.6572,115.403,7.51333e-07,108.365,-71.6816,140.307,8.71793e-07,44.9301,-57.9287,145.38,7.58549e-07,109.559,-72.0196,145.675,1.28384e-06,86.8447,-93.2793,169.821,9.95469e-07,79.3689,-14.5375,211.942,9.91029e-07,91.5705,14.5045,216.452,1.00323e-06,90.3798,26.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,410.0,0.0,22.0,1.6,13.0,1.0,104.686,7.56723e-07,109.547,-70.4532,117.314,7.56734e-07,109.58,-70.4887,128.432,7.56917e-07,109.416,-70.3126,138.769,7.58739e-07,109.534,-70.4393,141.389,8.60243e-07,45.958,-58.6734,142.456,1.06071e-06,95.7925,-41.7177,145.503,1.28303e-06,87.5904,-92.5351,161.467,1.28481e-06,86.4284,-92.2616,169.431,9.92612e-07,80.8675,-14.5375,204.81,9.71316e-07,95.9902,25.0928,206.621,7.74021e-07,107.845,-69.782,207.904,7.73882e-07,106.685,-69.0721,211.468,9.91625e-07,92.5368,13.5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,415.0,0.0,22.0,1.6,12.0,1.0,104.751,7.62445e-07,110.733,-69.2669,112.593,8.33475e-07,114.877,-171.465,127.916,7.62613e-07,110.606,-69.1345,138.207,7.64442e-07,110.733,-69.2665,141.675,1.06253e-06,96.8486,-40.8409,142.508,8.48972e-07,47.1718,-59.4266,167.941,7.75004e-07,117.157,-70.1942,169.036,9.90187e-07,82.3788,-14.5375,169.5,8.29519e-07,104.362,-1.82731,210.994,9.92501e-07,93.4929,12.5548,219.718,8.78548e-07,25.79,-61.8696,219.983,1.48461e-06,168.372,129.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,420.0,0.0,22.0,1.6,13.0,1.0,104.82,7.68486e-07,111.901,-68.0989,111.98,8.40607e-07,115.912,-172.5,125.909,8.4107e-07,115.698,-172.82,126.756,8.40628e-07,115.952,-172.46,127.348,7.6863e-07,111.779,-67.9752,137.562,7.70466e-07,111.915,-68.1126,143.717,8.38071e-07,48.743,-60.18,144.661,1.01248e-06,58.4282,-54.5076,149.924,7.71261e-07,111.967,-68.1148,158.114,8.9248e-07,102.855,18.4554,163.556,7.71241e-07,111.921,-68.0876,164.636,1.28232e-06,88.9279,-90.9408,219.656,8.76537e-07,100.304,-72.6685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,465.0,0.0,22.0,1.6,9.0,1.0,105.553,8.35979e-07,121.526,-58.4735,144.83,9.36372e-07,112.062,9.71212,150.214,9.3645e-07,112.055,9.67586,165.348,8.44024e-07,118.544,-57.8895,167.171,8.42797e-07,118.764,-57.8375,172.9,1.19732e-06,134.201,-125.948,181.67,8.88636e-07,159.114,-68.1693,187.022,8.44248e-07,118.536,-57.9081,215.047,1.58918e-06,31.2791,24.2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,510.0,0.0,22.0,1.6,12.0,1.0,106.416,9.23169e-07,129.518,-50.4824,114.224,9.2317e-07,129.519,-50.4849,131.683,1.08515e-06,122.956,122.867,138.132,1.08515e-06,122.958,122.813,169.826,1.01684e-06,120.938,6.70463,170.738,1.48103e-06,100.13,26.5972,174.574,1.47488e-06,98.0397,26.4061,179.207,1.09107e-06,121.665,127.953,181.694,9.30137e-07,129.378,-50.2664,190.635,1.48109e-06,99.009,26.5341,200.133,1.0564e-06,133.976,-43.5756,218.732,1.48119e-06,100.342,26.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,590.0,0.0,22.0,1.6,10.0,1.0,108.036,1.11187e-06,140.211,-39.789,125.821,1.1605e-06,131.922,-8.14377,127.654,1.11195e-06,140.212,-39.7911,138.283,1.24505e-06,133.205,133.248,147.41,1.24557e-06,133.033,133.913,148.349,1.16172e-06,128.99,-14.5375,152.562,1.24688e-06,133.23,133.509,160.872,1.24644e-06,133.271,133.175,182.115,1.2235e-06,137.587,136.451,213.399,1.63025e-06,155.969,-68.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,595.0,0.0,22.0,1.6,9.0,1.0,108.136,1.12472e-06,140.756,-39.2441,110.078,1.16984e-06,132.406,-8.9873,128.057,1.1248e-06,140.757,-39.2456,136.87,1.2565e-06,133.766,133.798,146.882,1.257e-06,133.591,134.441,147.27,1.1723e-06,129.911,-14.5375,151.712,1.25835e-06,133.794,134.024,162.134,1.2579e-06,133.83,133.724,213.435,1.64549e-06,156.206,-68.0743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,600.0,0.0,22.0,1.6,9.0,1.0,108.236,1.13766e-06,141.288,-38.7116,110.081,1.18114e-06,133.005,-9.58589,124.469,1.13769e-06,141.272,-38.6911,128.44,1.13775e-06,141.289,-38.7124,135.454,1.26808e-06,134.316,134.338,146.106,1.18309e-06,130.807,-14.5375,146.39,1.26856e-06,134.139,134.959,151.313,1.26978e-06,134.216,134.819,213.471,1.66076e-06,156.439,-67.8416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,850.0,0.0,22.0,1.6,6.0,1.0,112.533,1.8624e-06,157.567,-22.433,120.582,1.95343e-06,157.293,146.121,139.727,1.9535e-06,156.894,145.556,144.387,1.8806e-06,160.315,-14.5375,144.827,1.88059e-06,160.44,-14.5375,147.877,1.95392e-06,157.552,147.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
