tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
6.08,248.52,18.52,405.0,10.0,14.3408,25.0,1.0,107.39,1.55093e-06,149.124,-30.8758,110.279,1.56092e-06,144.523,-35.2338,111.851,1.55125e-06,149.106,-30.8599,112.189,1.55109e-06,149.151,-30.8812,114.579,1.55125e-06,149.104,-30.858,118.305,1.55094e-06,148.966,-30.6141,118.358,1.55108e-06,149.154,-30.8826,121.038,1.55148e-06,149.132,-30.8915,121.434,1.55112e-06,149.121,-30.8769,121.637,1.55147e-06,149.126,-30.8787,123.511,1.55108e-06,149.149,-30.8811,124.565,1.55109e-06,149.156,-30.882,125.229,1.5618e-06,146.181,-36.2387,125.752,1.55147e-06,149.124,-30.8761,130.919,1.55126e-06,149.109,-30.8614,131.824,1.55325e-06,153.055,-33.3673,132.114,1.56105e-06,145.829,-35.7472,132.145,1.55112e-06,149.117,-30.8759,133.01,1.56117e-06,143.458,-34.2468,134.943,1.55404e-06,152.742,-34.504,135.33,1.56117e-06,145.492,-36.6285,135.798,1.56262e-06,146.578,-38.5602,136.991,1.55282e-06,153.49,-32.7019,137.315,1.58099e-06,139.855,-38.5602,137.644,1.55215e-06,149.112,-30.8034
6.08,248.52,18.52,375.0,15.0,14.3075,25.0,1.0,106.846,1.45693e-06,147.667,-32.3331,108.472,1.45746e-06,147.685,-32.3629,112.158,1.45727e-06,147.648,-32.3179,114.387,1.45731e-06,147.656,-32.3219,114.455,1.45727e-06,147.646,-32.3161,116.609,1.51657e-06,-24.5794,-32.1774,116.781,1.45922e-06,147.666,-32.3341,118.658,1.45746e-06,147.688,-32.3691,119.821,1.45922e-06,147.665,-32.3325,121.261,1.5169e-06,-24.5606,-32.1613,123.127,1.45922e-06,147.664,-32.3207,123.515,1.51694e-06,-24.5689,-32.1658,124.006,1.45727e-06,147.649,-32.3187,124.052,1.5169e-06,-24.5591,-32.1597,127.173,1.45921e-06,147.653,-32.2795,127.597,1.45727e-06,147.65,-32.3192,129.228,1.5181e-06,-24.5431,-32.0959,129.34,1.5171e-06,-24.6004,-32.2162,130.124,1.51884e-06,-24.5778,-32.1782,130.602,1.45737e-06,146.515,-30.6141,132.431,1.5169e-06,-24.5617,-32.1619,133.326,1.45747e-06,147.659,-32.3187,134.129,1.45786e-06,147.05,-29.5907,134.137,1.51884e-06,-24.5775,-32.1695,135.825,1.5181e-06,-24.5345,-32.0763
6.08,248.52,18.52,400.0,15.0,14.3446,25.0,1.0,107.261,1.52806e-06,149.34,-30.6599,111.758,1.52823e-06,149.372,-30.6656,113.9,1.52807e-06,149.312,-30.6141,114.793,1.52823e-06,149.373,-30.6659,118.343,1.52822e-06,149.371,-30.6664,120.684,1.52861e-06,149.349,-30.676,121.382,1.52861e-06,149.342,-30.6637,123.262,1.52822e-06,149.367,-30.6652,125.555,1.5286e-06,149.34,-30.6604,128.171,1.53868e-06,146.729,-36.2387,128.853,1.52823e-06,149.38,-30.6667,130.1,1.53051e-06,154.474,-32.7019,130.543,1.53086e-06,153.777,-33.3673,132.063,1.53104e-06,153.773,-33.3673,133.78,1.53064e-06,154.118,-32.9681,134.445,1.5316e-06,153.287,-34.504,135.088,1.5379e-06,146.426,-35.7472,136.053,1.53952e-06,146.832,-38.5602,136.299,1.53799e-06,145.749,-36.6285,137.664,1.52928e-06,149.341,-30.6668,137.978,1.53816e-06,145.748,-36.6285,138.74,1.53901e-06,146.303,-38.5602,139.386,1.53456e-06,152.859,-38.5602,139.845,1.53991e-06,140.518,-32.9681,140.358,1.53957e-06,146.304,-38.5602
6.08,248.52,18.52,365.0,20.0,14.3092,25.0,1.0,106.622,1.41982e-06,147.516,-32.4844,112.39,1.42016e-06,147.496,-32.4698,114.283,1.42016e-06,147.494,-32.4678,114.595,1.4202e-06,147.504,-32.4735,116.827,1.55385e-06,-24.6271,-32.1297,117.715,1.42035e-06,147.536,-32.5182,119.214,1.42211e-06,147.514,-32.4826,121.052,1.55418e-06,-24.6086,-32.1131,121.993,1.42211e-06,147.511,-32.4687,123.375,1.55422e-06,-24.6168,-32.1179,124.12,1.55418e-06,-24.6073,-32.1116,124.749,1.42016e-06,147.497,-32.4707,126.288,1.42016e-06,147.498,-32.4707,127.108,1.42211e-06,147.499,-32.4256,129.631,1.55538e-06,-24.5924,-32.0491,130.014,1.55438e-06,-24.6479,-32.1699,130.665,1.55612e-06,-24.6256,-32.1313,131.069,1.42035e-06,146.207,-30.6141,131.817,1.55418e-06,-24.6096,-32.1136,132.696,1.42036e-06,147.507,-32.4701,134.06,1.42079e-06,146.869,-29.6874,134.24,1.42101e-06,147.042,-29.6821,134.413,1.42107e-06,147.065,-29.8542,134.966,1.55612e-06,-24.6258,-32.1243,135.997,1.55538e-06,-24.5844,-32.0299
6.08,248.52,18.52,370.0,20.0,14.359,25.0,1.0,106.708,1.43392e-06,147.874,-32.1264,108.355,1.43446e-06,147.892,-32.1564,112.485,1.43426e-06,147.854,-32.1117,114.359,1.43426e-06,147.852,-32.1096,114.645,1.4343e-06,147.862,-32.1153,116.773,1.5387e-06,-24.886,-31.8708,118.368,1.43446e-06,147.895,-32.1621,118.819,1.43548e-06,147.833,-32.0422,121.362,1.53903e-06,-24.8673,-31.8546,123.586,1.53907e-06,-24.8755,-31.8591,124.182,1.53903e-06,-24.8659,-31.8529,124.969,1.43426e-06,147.856,-32.1126,126.048,1.43547e-06,147.823,-32.0216,126.67,1.43426e-06,147.856,-32.1125,129.536,1.43427e-06,146.833,-30.6141,129.58,1.54023e-06,-24.8507,-31.7896,130.018,1.53924e-06,-24.907,-31.9114,130.55,1.54098e-06,-24.8841,-31.8725,132.54,1.53903e-06,-24.8684,-31.8551,132.858,1.43447e-06,147.865,-32.1118,133.473,1.54022e-06,-24.854,-31.7998,135.109,1.54098e-06,-24.8845,-31.8648,135.955,1.54023e-06,-24.8428,-31.7705,136.436,1.43437e-06,147.886,-32.1411,137.208,1.44784e-06,139.32,-35.7472
6.08,248.52,18.52,375.0,20.0,14.4187,25.0,1.0,106.793,1.44808e-06,148.225,-31.7753,108.447,1.44862e-06,148.243,-31.8055,110.415,1.45056e-06,148.198,-31.7603,112.608,1.44842e-06,148.205,-31.7606,114.443,1.44841e-06,148.203,-31.7585,114.726,1.44846e-06,148.213,-31.7641,116.716,1.52358e-06,-25.15,-31.6068,118.952,1.44862e-06,148.246,-31.8128,119.698,2.14949e-06,154.971,-31.7269,121.667,1.52391e-06,-25.1313,-31.5909,123.83,1.52395e-06,-25.1394,-31.5951,124.196,1.52391e-06,-25.1296,-31.5891,124.419,1.45096e-06,148.032,-30.6879,124.589,1.45096e-06,148.058,-30.8464,125.255,1.44842e-06,148.207,-31.7614,125.385,1.45096e-06,148.054,-30.8467,126.222,1.45096e-06,148.027,-30.6547,126.951,1.44842e-06,148.207,-31.7613,127.623,1.44828e-06,147.438,-30.6141,129.986,1.52412e-06,-25.1711,-31.6477,132.995,1.44862e-06,148.216,-31.7604,134.131,1.46066e-06,141.111,-35.7472,135.124,1.52412e-06,-25.1505,-31.6076,135.44,1.46105e-06,142.173,-36.2387,135.814,1.48519e-06,138.208,-41.5368
6.08,248.52,18.52,380.0,20.0,14.3656,25.0,1.0,106.878,1.46229e-06,148.569,-31.4311,108.523,1.46283e-06,148.587,-31.461,108.821,1.46283e-06,148.58,-31.4504,110.45,1.46472e-06,148.542,-31.4164,112.379,1.46262e-06,148.55,-31.4163,114.443,1.46262e-06,148.548,-31.4141,114.466,1.46266e-06,148.558,-31.4197,117.018,1.46245e-06,148.6,-31.4355,120.363,1.46283e-06,148.578,-31.4476,121.128,1.46283e-06,148.571,-31.4347,122.103,1.46245e-06,148.603,-31.436,124.726,1.46262e-06,148.551,-31.4169,125.078,1.46239e-06,148.025,-30.6141,125.157,1.46283e-06,148.57,-31.4323,127.96,1.46262e-06,148.552,-31.4171,128.309,1.46246e-06,148.609,-31.4366,128.602,1.4738e-06,142.773,-35.7472,129.38,1.47435e-06,143.59,-36.2387,131.043,1.4663e-06,148.432,-31.1102,131.523,1.46383e-06,152.156,-33.3673,133.944,1.46245e-06,148.619,-31.4383,134.337,1.46466e-06,152.031,-34.504,137.098,1.46273e-06,148.581,-31.4459,137.754,1.47466e-06,141.626,-34.2468,140.152,1.47435e-06,142.11,-34.504
6.08,248.52,18.52,390.0,20.0,14.2976,25.0,1.0,107.046,1.49086e-06,149.238,-30.7623,112.045,1.49118e-06,149.218,-30.7473,112.994,1.49103e-06,149.275,-30.7681,115.829,1.49086e-06,149.142,-30.6141,116.116,1.50134e-06,144.618,-35.3142,117.662,1.49107e-06,149.186,-30.7588,117.895,1.49102e-06,149.269,-30.768,118.848,1.49103e-06,149.276,-30.7681,119.354,1.49107e-06,149.19,-30.759,120.396,1.4914e-06,149.247,-30.7785,121.133,1.4914e-06,149.24,-30.7663,122.656,1.49102e-06,149.268,-30.7673,124.443,1.50165e-06,146.163,-36.2387,125.292,1.4914e-06,149.238,-30.763,128.906,1.49321e-06,154.571,-32.7019,130.103,1.49356e-06,153.801,-33.3673,130.865,1.5009e-06,145.754,-35.7472,132.939,1.50096e-06,143.593,-34.504,132.988,1.49334e-06,154.173,-32.9681,133.144,1.49103e-06,149.287,-30.7695,134.123,1.4943e-06,153.28,-34.504,134.636,1.50103e-06,145.439,-36.6285,135.407,1.50247e-06,146.593,-38.5602,135.719,1.50127e-06,145.442,-36.6285,137.377,1.49207e-06,149.233,-30.7351
6.08,248.52,18.52,365.0,25.0,14.3798,25.0,1.0,106.567,1.41093e-06,148.087,-31.9129,108.232,1.41147e-06,148.106,-31.943,112.718,1.41127e-06,148.067,-31.8988,114.246,1.41127e-06,148.065,-31.8965,114.818,1.41131e-06,148.076,-31.9019,118.19,1.41147e-06,148.108,-31.9486,124.241,1.5612e-06,-25.1539,-31.5544,125.808,1.41127e-06,148.069,-31.8991,125.884,1.41127e-06,148.069,-31.8997,126.605,1.41171e-06,146.923,-31.8924,128.291,1.41119e-06,147.168,-30.6141,130.765,1.56141e-06,-25.1947,-31.6149,131.404,1.56141e-06,-25.1744,-31.574,132.467,1.41148e-06,148.079,-31.8982,134.524,1.41116e-06,148.094,-31.9151,135.834,1.41138e-06,148.1,-31.9273,136.332,1.42432e-06,139.647,-35.7472,138.287,1.42453e-06,141.027,-36.2387,141.112,1.41353e-06,148.138,-32.3863,142.002,1.41115e-06,148.104,-31.9177,142.754,1.41367e-06,148.26,-33.5767,142.772,1.41373e-06,148.246,-33.4863,142.801,1.41131e-06,148.076,-31.9025,143.462,1.43158e-06,133.346,-32.9681,144.111,1.41538e-06,148.25,-34.6441
6.08,248.52,18.52,375.0,25.0,14.4894,25.0,1.0,106.741,1.43936e-06,148.789,-31.2107,108.008,1.45099e-06,144.884,-36.5238,112.931,1.4397e-06,148.77,-31.1966,114.409,1.4397e-06,148.767,-31.1941,114.944,1.43974e-06,148.778,-31.1995,115.886,1.43956e-06,148.817,-31.2144,116.483,1.45099e-06,144.953,-36.6285,119.83,1.43991e-06,148.799,-31.2285,120.814,1.43991e-06,148.792,-31.2163,121.295,1.43956e-06,148.83,-31.2159,122.705,1.43941e-06,148.381,-30.6141,124.858,1.43956e-06,148.846,-31.2179,124.926,1.43991e-06,148.79,-31.2125,124.948,1.45044e-06,143.315,-35.7472,125.573,1.45104e-06,144.107,-36.2387,126.57,1.4397e-06,148.772,-31.1966,129.807,1.43957e-06,148.84,-31.2168,130.699,1.44134e-06,152.968,-33.3673,133.99,1.44213e-06,152.626,-34.504,135.337,1.4409e-06,153.508,-32.7019,135.461,1.4396e-06,148.796,-31.2129,136.815,1.44064e-06,148.724,-30.9351,136.896,1.44058e-06,148.761,-31.0495,137.055,1.45123e-06,141.869,-34.2468,138.414,1.44107e-06,153.223,-32.9681
