tx_x,tx_y,rx_x,rx_y,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
280.863,473.291,40.0,5.0,6.0,1.0,108.646,1.79198e-06,62.7812,-117.219,115.062,1.79229e-06,63.2246,-119.872,124.412,1.79206e-06,63.5587,-117.6,128.928,1.79233e-06,63.1219,-121.092,164.814,1.84072e-06,56.9906,-109.083,201.516,1.81955e-06,55.3612,-112.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.863,473.291,45.0,5.0,25.0,1.0,108.579,1.7782e-06,63.2671,-116.733,109.218,1.77863e-06,63.7224,-120.299,112.839,1.79893e-06,70.6205,-109.303,120.697,1.78011e-06,63.4216,-116.736,121.323,1.78054e-06,63.8763,-120.296,121.97,1.77864e-06,63.7942,-119.872,124.042,1.77864e-06,63.6522,-121.092,127.343,1.78019e-06,63.0585,-116.728,128.182,1.78737e-06,54.7465,-112.648,130.491,1.77861e-06,65.0592,-117.6,130.769,1.79898e-06,69.5042,-109.123,134.039,1.78054e-06,63.9476,-119.872,136.173,1.78055e-06,63.806,-121.092,142.556,1.78052e-06,65.2061,-117.6,143.21,1.78148e-06,63.2079,-116.728,144.027,1.78023e-06,62.5907,-116.709,144.499,1.78502e-06,62.4852,-116.568,144.529,1.78105e-06,62.2994,-116.671,144.538,1.78154e-06,63.5785,-116.758,145.483,1.78183e-06,63.2825,-116.734,145.689,1.78256e-06,64.0075,-116.823,146.168,1.78247e-06,63.3439,-116.742,146.866,1.7877e-06,53.5816,-113.016,147.374,1.79112e-06,55.774,-110.198,147.747,1.7873e-06,63.083,-116.678
280.863,473.291,50.0,5.0,25.0,1.0,108.543,1.7709e-06,63.7571,-116.243,109.326,1.77144e-06,64.2156,-120.778,109.328,1.77144e-06,64.2141,-120.793,119.009,1.77144e-06,64.1875,-121.092,124.268,1.77808e-06,56.0452,-112.692,127.824,1.77148e-06,64.3694,-119.872,132.179,1.77808e-06,56.1367,-112.648,134.07,1.77191e-06,66.5971,-117.6,134.476,1.79375e-06,73.2283,-109.123,136.349,1.77282e-06,64.0507,-116.247,142.601,1.77336e-06,62.7545,-116.187,142.997,1.77402e-06,63.6892,-116.238,143.287,1.77262e-06,63.0717,-116.223,143.825,1.77336e-06,62.7798,-116.188,144.38,1.77738e-06,62.9629,-116.085,144.423,1.77418e-06,64.0612,-116.267,144.514,1.77815e-06,55.1857,-113.016,145.3,1.7744e-06,63.7644,-116.243,145.672,1.77531e-06,64.4917,-116.333,145.779,1.79511e-06,76.7193,-112.648,146.002,1.77504e-06,63.8258,-116.251,146.562,1.80132e-06,81.9425,-113.287,148.16,1.78203e-06,63.9474,-116.313,148.324,1.78437e-06,55.6702,-112.764,149.141,1.77838e-06,54.1121,-113.287
280.863,473.291,55.0,5.0,25.0,1.0,108.508,1.76372e-06,64.2514,-115.749,116.549,1.76438e-06,64.7276,-121.092,126.432,1.76529e-06,64.58,-115.755,132.307,1.76447e-06,64.9502,-119.872,132.594,1.76595e-06,65.0512,-121.092,136.345,1.78859e-06,71.0016,-107.187,136.669,1.76561e-06,68.1717,-117.6,139.474,1.76899e-06,56.8548,-113.016,141.767,1.78955e-06,77.104,-109.123,142.776,1.76669e-06,64.1746,-115.743,142.948,1.7653e-06,64.9813,-115.76,143.585,1.76608e-06,65.0717,-115.792,144.265,1.76986e-06,63.445,-115.599,144.308,1.76695e-06,64.5478,-115.771,145.114,1.76709e-06,64.2504,-115.749,145.655,1.76819e-06,64.9798,-115.839,145.831,1.76775e-06,64.3117,-115.755,146.523,1.76779e-06,64.3864,-115.758,146.833,1.76717e-06,68.4527,-117.6,147.489,1.76604e-06,65.2713,-119.872,147.641,1.79934e-06,84.1284,-113.287,147.672,1.77019e-06,63.6174,-115.617,148.032,1.79159e-06,78.3618,-112.648,148.046,1.77965e-06,47.3028,-117.6,148.416,1.7654e-06,64.8941,-115.767
280.863,473.291,40.0,10.0,9.0,1.0,108.575,1.77745e-06,62.5303,-117.47,118.128,1.77746e-06,62.8024,-117.6,154.818,1.86998e-06,58.5886,-42.5881,161.839,1.80102e-06,62.4915,-117.429,164.677,1.79869e-06,48.3709,-113.569,164.778,1.82678e-06,56.7055,-109.242,164.872,1.82665e-06,56.6822,-109.246,188.089,1.8126e-06,43.9518,-114.524,196.902,1.81316e-06,53.0358,-111.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.863,473.291,45.0,10.0,25.0,1.0,108.507,1.76354e-06,63.0192,-116.981,109.071,1.76391e-06,63.4787,-120.054,110.444,1.77743e-06,54.2693,-110.918,118.45,1.76391e-06,63.5096,-119.872,120.757,1.76547e-06,63.1754,-116.983,126.392,1.76394e-06,63.3859,-121.092,126.553,1.76548e-06,63.0149,-116.981,127.901,1.76375e-06,64.3334,-117.6,130.65,1.76583e-06,63.6646,-119.872,131.123,1.77935e-06,54.4334,-110.916,132.552,1.77403e-06,53.7568,-112.648,137.616,1.78365e-06,68.0512,-109.123,138.654,1.76586e-06,63.5413,-121.092,139.397,1.77759e-06,55.1083,-110.198,140.096,1.76568e-06,64.4823,-117.6,141.657,1.78321e-06,74.7449,-112.648,142.961,1.76662e-06,62.9635,-116.977,143.775,1.78428e-06,69.03,-107.187,143.857,1.76663e-06,63.3418,-117.003,144.23,1.76663e-06,63.3337,-117.003,144.383,1.77025e-06,62.2361,-116.82,144.759,1.76632e-06,62.0325,-116.924,145.184,1.76696e-06,63.0401,-116.983,145.838,1.76758e-06,63.1021,-116.99,146.575,1.76551e-06,62.2713,-116.961
280.863,473.291,50.0,10.0,25.0,1.0,108.471,1.75618e-06,63.5124,-116.488,109.184,1.75666e-06,63.9736,-120.55,121.393,1.75667e-06,63.9249,-121.092,125.016,1.75668e-06,64.0892,-119.872,128.76,1.77806e-06,72.0005,-109.123,132.449,1.75687e-06,65.9047,-117.6,137.399,1.76451e-06,55.1643,-112.648,140.257,1.75826e-06,65.0342,-116.502,142.744,1.7591e-06,63.448,-116.483,143.729,1.75922e-06,63.8286,-116.509,144.08,1.75857e-06,62.5136,-116.439,144.112,1.75921e-06,63.8194,-116.508,144.264,1.76254e-06,62.7169,-116.335,144.605,1.75948e-06,63.5134,-116.488,144.996,1.75946e-06,63.5252,-116.489,145.091,1.75789e-06,62.5323,-116.464,145.24,1.77913e-06,76.329,-112.648,145.361,1.76027e-06,64.2564,-116.57,145.661,1.76009e-06,63.5871,-116.495,145.709,1.76622e-06,54.9643,-121.092,146.182,1.78505e-06,81.6221,-113.287,146.953,1.75785e-06,62.7411,-116.471,147.465,1.76489e-06,63.3208,-116.434,148.002,1.76706e-06,63.7094,-116.558,148.36,1.76498e-06,63.3481,-116.441
280.863,473.291,55.0,10.0,25.0,1.0,108.435,1.74893e-06,64.0099,-115.99,109.294,1.74953e-06,64.4728,-121.05,116.23,1.74953e-06,64.469,-121.092,126.643,1.75529e-06,56.1953,-112.842,130.214,1.74959e-06,64.6746,-119.872,132.477,1.75041e-06,64.544,-115.999,135.488,1.75038e-06,67.5156,-117.6,138.628,1.75042e-06,65.0171,-116.004,140.156,1.77355e-06,76.1347,-109.123,140.339,1.75531e-06,56.6216,-112.648,141.706,1.75531e-06,55.7095,-113.016,142.291,1.75057e-06,70.0799,-116.097,142.557,1.75171e-06,63.9367,-115.986,143.309,1.751e-06,64.8518,-116.025,143.607,1.75193e-06,64.3197,-116.011,144.025,1.75192e-06,64.3087,-116.01,144.187,1.75495e-06,63.2023,-115.846,144.422,1.76081e-06,55.6222,-112.934,144.459,1.75211e-06,64.0033,-115.99,144.77,1.75211e-06,64.0079,-115.99,144.832,1.75209e-06,64.0147,-115.99,145.367,1.75309e-06,64.7477,-116.073,145.492,1.75274e-06,64.0765,-115.997,147.319,1.78298e-06,83.8933,-113.287,147.588,1.77549e-06,78.0168,-112.648
280.863,473.291,50.0,15.0,25.0,1.0,108.398,1.74149e-06,63.2634,-116.737,109.038,1.74192e-06,63.7287,-120.305,112.702,1.76249e-06,70.7758,-109.15,119.838,1.74323e-06,62.4175,-116.722,120.479,1.75452e-06,54.393,-111.046,121.037,1.76249e-06,70.5862,-109.123,121.88,1.74193e-06,63.8033,-119.872,123.801,1.74193e-06,63.6574,-121.092,130.433,1.74191e-06,65.1728,-117.6,132.849,1.74323e-06,62.379,-116.72,141.301,1.75111e-06,54.1421,-112.648,142.121,1.74366e-06,64.3428,-117.6,142.446,1.74452e-06,73.586,-116.777,142.518,1.74422e-06,63.2025,-116.733,142.611,1.76317e-06,75.9723,-112.648,143.049,1.74428e-06,63.5878,-116.755,143.836,1.74428e-06,63.5707,-116.754,143.882,1.74327e-06,62.3151,-116.725,144.149,1.74773e-06,62.4668,-116.589,144.697,1.74456e-06,63.2821,-116.738,144.813,1.74382e-06,62.2414,-116.694,145.043,1.74527e-06,64.0164,-116.81,145.299,1.74518e-06,63.3445,-116.744,145.776,1.7688e-06,81.2757,-113.287,147.297,1.75e-06,63.0756,-116.686
280.863,473.291,55.0,15.0,25.0,1.0,108.361,1.73408e-06,63.7642,-116.236,109.15,1.73462e-06,64.2311,-120.81,118.652,1.73463e-06,64.2054,-121.092,121.276,1.73581e-06,63.0489,-116.226,127.843,1.73466e-06,64.3934,-119.872,131.491,1.73636e-06,63.4908,-121.092,134.11,1.73514e-06,66.8211,-117.6,134.478,1.74157e-06,55.6191,-112.648,137.976,1.75754e-06,75.0113,-109.123,138.484,1.74326e-06,54.947,-112.648,140.08,1.98835e-06,72.1871,-130.229,140.897,1.7364e-06,63.6793,-119.872,140.932,1.736e-06,62.6498,-116.227,142.697,1.73681e-06,63.6948,-116.232,144.089,1.73696e-06,64.0577,-116.252,144.37,1.7372e-06,63.7626,-116.236,144.396,1.74009e-06,62.9575,-116.096,144.811,1.73716e-06,63.7766,-116.237,145.23,1.73778e-06,63.8388,-116.243,145.276,1.73804e-06,64.5085,-116.31,145.362,1.7362e-06,62.3757,-116.187,145.728,1.73617e-06,62.718,-116.201,146.408,1.9884e-06,72.1615,-130.511,146.979,1.76655e-06,83.639,-113.287,147.098,1.74326e-06,55.1131,-121.092
